Lexeme | Token | Count
class|keyword|1
Story3|identifier|1
{|seprator|2
public|keyword|1
static|keyword|1
void|keyword|1
main|identifier|1
(|seprator|1
String|identifier|2
[|seprator|1
]|seprator|1
args|identifier|1
)|seprator|1
story|identifier|1
=|operator|1
"""
            "When I use a word," Humpty Dumpty said,
            in rather a scornful tone, "it means just what I
            choose it to mean - neither more nor less."
            "The question is," said Alice, "whether you
            can make words mean so many different things."
            "The question is," said Humpty Dumpty,
            "which is to be master - that's all.\""""|literal|1
;|seprator|1
}|seprator|2
