Lexeme | Token | Count
program|keyword|1
public2|identifier|1
(|seprator|6
output|identifier|1
)|seprator|6
;|seprator|13
const|keyword|1
d|identifier|2
=|operator|6
0.0625|literal|1
s|identifier|2
32|literal|2
h|identifier|2
34|literal|1
c|identifier|2
6.28318|literal|1
lim|identifier|2
var|keyword|1
x|identifier|4
,|seprator|2
y|identifier|3
:|seprator|2
real|identifier|1
i|identifier|3
n|identifier|5
integer|identifier|1
begin|keyword|2
for|keyword|1
:=|operator|5
0|literal|2
to|keyword|1
do|keyword|1
*|operator|4
exp|identifier|1
-|operator|1
sin|identifier|1
round|identifier|1
+|operator|1
repeat|keyword|1
write|identifier|1
" "|literal|1
-1|literal|1
until|keyword|1
writeln|identifier|1
"*"|literal|1
end|keyword|2
