Lexeme | Token | Count
public|keyword|2
class|keyword|1
SyntaxCheck|identifier|1
{|seprator|5
static|keyword|4
void|keyword|4
main|identifier|1
(|seprator|10
String|identifier|1
[|seprator|1
]|seprator|1
args|identifier|1
)|seprator|10
int|keyword|2
a|identifier|4
;|seprator|11
=|operator|3
5|literal|1
++|operator|1
printFunc|identifier|6
float|keyword|2
b|identifier|2
3.14f|literal|1
long|keyword|2
val|identifier|8
100L|literal|1
}|seprator|5
System|identifier|3
.|seprator|6
out|identifier|3
println|identifier|3
